Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
1,Ninja,https://www.fflogs.com/reports/VkB7L2Jm3CnFRrgd#fight=10&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,12112.1,1138.8s,11559.5,127.1s,13623.4,142.3s,10583.2,192.8s,12133.2,71.6s,13795.6,285.9s,11735.2,319.1s
2,Dragoon,https://www.fflogs.com/reports/q3GyHtCrDbKQkApM#fight=9&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,11968.3,1144.1s,10656.0,129.0s,13392.9,143.5s,11810.9,193.2s,10442.3,71.6s,13184.1,286.0s,11742.7,320.8s
3,Monk,https://www.fflogs.com/reports/nzXvCZ7dWJq3cApx#fight=17&type=damage-done,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,11941.4,1139.4s,10992.9,129.7s,11978.6,143.3s,11914.8,189.3s,10903.7,71.5s,13360.3,285.9s,11850.9,319.7s
4,Dragoon,https://www.fflogs.com/reports/BrvAV7JT4jHL1CyF#fight=19&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11940.8,1140.6s,10415.0,128.8s,13934.7,144.2s,10583.9,191.6s,13465.6,71.6s,13070.3,286.0s,11696.4,318.5s
5,Ninja,https://www.fflogs.com/reports/a:7zf2BQTryqZjF3R4#fight=34&type=damage-done,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,11866.3,1140.4s,11190.7,130.4s,11838.9,142.5s,11558.9,191.6s,10620.1,71.6s,14158.2,286.1s,11408.0,318.2s
6,Dragoon,https://www.fflogs.com/reports/mwGD3np6VMX2AjTC#fight=19&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,11849.6,1138.7s,10065.3,128.0s,13955.3,139.2s,11270.2,193.7s,9864.0,71.7s,12982.9,286.1s,11980.5,320.0s
7,Reaper,https://www.fflogs.com/reports/jz1TRnKgZ8PFqy9W#fight=16&type=damage-done,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,11849.5,1144.0s,10923.2,129.1s,12181.5,144.0s,11668.4,192.5s,11671.8,71.6s,12273.5,286.0s,12071.2,320.8s
8,Ninja,https://www.fflogs.com/reports/x2THzAbhf3WQaGY6#fight=23&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11843.6,1137.0s,11223.5,128.8s,12962.3,143.1s,10879.1,190.3s,12982.2,71.6s,13387.2,286.1s,11154.4,317.1s
9,Dragoon,https://www.fflogs.com/reports/a:vXhyMAz2G8Wj7rNZ#fight=5&type=damage-done,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,11837.0,1141.6s,10239.7,128.6s,12871.5,144.7s,11155.0,191.6s,12796.8,71.6s,12372.4,285.9s,12078.6,319.1s
10,Monk,https://www.fflogs.com/reports/naj91vcZgJfyXWTV#fight=13&type=damage-done,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,11835.6,1136.8s,11836.9,124.1s,11638.3,144.9s,11923.1,189.3s,10409.1,71.6s,13231.0,286.0s,11412.4,320.9s
11,Ninja,https://www.fflogs.com/reports/zFvDNk8HTCf9ampY#fight=42&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,11821.0,1139.5s,10704.8,127.3s,11427.9,141.3s,11733.0,190.2s,10911.2,71.6s,14015.1,286.2s,11576.9,322.9s
12,Dragoon,https://www.fflogs.com/reports/n2grKRpJvNkwjD3b#fight=7&type=damage-done,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,11818.9,1136.7s,10513.1,130.4s,13947.8,137.3s,10960.7,192.8s,11371.6,71.6s,12903.8,286.2s,11608.3,318.4s
13,Reaper,https://www.fflogs.com/reports/M3BfPw7VYqxWtkGd#fight=26&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,11811.7,1143.7s,10142.3,128.6s,13551.0,144.6s,10438.1,194.0s,12538.5,71.6s,12902.5,286.0s,11954.6,318.8s
14,Dragoon,https://www.fflogs.com/reports/qrdDfa9WKjxZXy4z#fight=25&type=damage-done,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,11811.6,1138.3s,10283.2,128.3s,12854.4,139.1s,11468.6,193.3s,11568.0,71.6s,13019.7,286.1s,11718.9,320.0s
15,Ninja,https://www.fflogs.com/reports/nQcz36jAqbTWkvGC#fight=18&type=damage-done,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,11807.6,1143.7s,10715.0,129.2s,12032.3,144.9s,12093.3,191.1s,9628.4,71.6s,13510.4,286.0s,11598.7,320.9s
16,Ninja,https://www.fflogs.com/reports/cMTP9Ly1AN4Dw26k#fight=8&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11804.7,1145.4s,10945.6,130.6s,12474.1,143.0s,11875.7,190.9s,10401.3,71.6s,13603.0,286.0s,11218.5,323.3s
17,Reaper,https://www.fflogs.com/reports/f9y8RbQCYacdpzWw#fight=43&type=damage-done,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,11800.9,1141.6s,10871.7,129.1s,12314.7,143.0s,11233.1,191.1s,10596.8,71.6s,13348.3,286.1s,11780.2,320.8s
18,Ninja,https://www.fflogs.com/reports/fRFQKP7XnG3xdtMY#fight=23&type=damage-done,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,11798.5,1138.8s,11056.3,129.6s,11815.8,142.7s,10973.7,191.6s,12429.7,71.6s,13560.9,286.1s,11558.6,317.1s
