,Rank,Job,Link,Astrologian,Bard,BlackMage,DarkKnight,Dragoon,Machinist,Monk,Ninja,Paladin,Scholar,Summoner,Warrior,WhiteMage,Red Mage,Samurai,Dancer,Gunbreaker,Reaper,Sage,TotalDPS,TotalTime,P1DPS,P1Time,P2DPS,P2Time,P3DPS,P3Time,P4DPS,P4Time,P5DPS,P5Time,P6DPS,P6Time
0,1,Ninja,https://www.fflogs.com/reports/VkB7L2Jm3CnFRrgd#fight=10&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,12112.1,1138.8,11559.5,127.1,13623.4,142.3,10583.2,192.8,12133.2,71.6,13795.6,285.9,11735.2,319.1
1,2,Dragoon,https://www.fflogs.com/reports/q3GyHtCrDbKQkApM#fight=9&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,11968.3,1144.1,10656.0,129.0,13392.9,143.5,11810.9,193.2,10442.3,71.6,13184.1,286.0,11742.7,320.8
2,3,Monk,https://www.fflogs.com/reports/nzXvCZ7dWJq3cApx#fight=17&type=damage-done,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,11941.4,1139.4,10992.9,129.7,11978.6,143.3,11914.8,189.3,10903.7,71.5,13360.3,285.9,11850.9,319.7
3,4,Dragoon,https://www.fflogs.com/reports/BrvAV7JT4jHL1CyF#fight=19&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11940.8,1140.6,10415.0,128.8,13934.7,144.2,10583.9,191.6,13465.6,71.6,13070.3,286.0,11696.4,318.5
4,5,Ninja,https://www.fflogs.com/reports/a:7zf2BQTryqZjF3R4#fight=34&type=damage-done,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,11866.3,1140.4,11190.7,130.4,11838.9,142.5,11558.9,191.6,10620.1,71.6,14158.2,286.1,11408.0,318.2
5,6,Dragoon,https://www.fflogs.com/reports/mwGD3np6VMX2AjTC#fight=19&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,11849.6,1138.7,10065.3,128.0,13955.3,139.2,11270.2,193.7,9864.0,71.7,12982.9,286.1,11980.5,320.0
6,7,Reaper,https://www.fflogs.com/reports/jz1TRnKgZ8PFqy9W#fight=16&type=damage-done,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,11849.5,1144.0,10923.2,129.1,12181.5,144.0,11668.4,192.5,11671.8,71.6,12273.5,286.0,12071.2,320.8
7,8,Ninja,https://www.fflogs.com/reports/x2THzAbhf3WQaGY6#fight=23&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11843.6,1137.0,11223.5,128.8,12962.3,143.1,10879.1,190.3,12982.2,71.6,13387.2,286.1,11154.4,317.1
8,9,Dragoon,https://www.fflogs.com/reports/a:vXhyMAz2G8Wj7rNZ#fight=5&type=damage-done,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,11837.0,1141.6,10239.7,128.6,12871.5,144.7,11155.0,191.6,12796.8,71.6,12372.4,285.9,12078.6,319.1
9,10,Monk,https://www.fflogs.com/reports/naj91vcZgJfyXWTV#fight=13&type=damage-done,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,11835.6,1136.8,11836.9,124.1,11638.3,144.9,11923.1,189.3,10409.1,71.6,13231.0,286.0,11412.4,320.9
10,11,Ninja,https://www.fflogs.com/reports/zFvDNk8HTCf9ampY#fight=42&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,11821.0,1139.5,10704.8,127.3,11427.9,141.3,11733.0,190.2,10911.2,71.6,14015.1,286.2,11576.9,322.9
11,12,Dragoon,https://www.fflogs.com/reports/n2grKRpJvNkwjD3b#fight=7&type=damage-done,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,11818.9,1136.7,10513.1,130.4,13947.8,137.3,10960.7,192.8,11371.6,71.6,12903.8,286.2,11608.3,318.4
12,13,Reaper,https://www.fflogs.com/reports/M3BfPw7VYqxWtkGd#fight=26&type=damage-done,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,11811.7,1143.7,10142.3,128.6,13551.0,144.6,10438.1,194.0,12538.5,71.6,12902.5,286.0,11954.6,318.8
13,14,Dragoon,https://www.fflogs.com/reports/qrdDfa9WKjxZXy4z#fight=25&type=damage-done,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,11811.6,1138.3,10283.2,128.3,12854.4,139.1,11468.6,193.3,11568.0,71.6,13019.7,286.1,11718.9,320.0
14,15,Ninja,https://www.fflogs.com/reports/nQcz36jAqbTWkvGC#fight=18&type=damage-done,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,11807.6,1143.7,10715.0,129.2,12032.3,144.9,12093.3,191.1,9628.4,71.6,13510.4,286.0,11598.7,320.9
15,16,Ninja,https://www.fflogs.com/reports/cMTP9Ly1AN4Dw26k#fight=8&type=damage-done,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,11804.7,1145.4,10945.6,130.6,12474.1,143.0,11875.7,190.9,10401.3,71.6,13603.0,286.0,11218.5,323.3
16,17,Reaper,https://www.fflogs.com/reports/f9y8RbQCYacdpzWw#fight=43&type=damage-done,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,11800.9,1141.6,10871.7,129.1,12314.7,143.0,11233.1,191.1,10596.8,71.6,13348.3,286.1,11780.2,320.8
17,18,Ninja,https://www.fflogs.com/reports/fRFQKP7XnG3xdtMY#fight=23&type=damage-done,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,11798.5,1138.8,11056.3,129.6,11815.8,142.7,10973.7,191.6,12429.7,71.6,13560.9,286.1,11558.6,317.1
18,19,Dragoon,https://www.fflogs.com/reports/932t8WVdLYMrnp6R#fight=11&type=damage-done,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,11797.1,1144.2,10526.8,128.7,12924.9,143.2,11692.6,192.8,10265.3,71.6,12892.4,286.1,11712.7,321.7
19,20,Dragoon,https://www.fflogs.com/reports/xvAhQd9W2NZpGk7J#fight=11&type=damage-done,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,11791.6,1144.0,10419.9,128.1,12527.3,144.3,12001.4,193.4,10314.3,71.6,12333.6,286.1,12017.3,320.6
20,21,Dragoon,https://www.fflogs.com/reports/HV6C2wR3Wtfm9bav#fight=37&type=damage-done,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,11788.3,1141.6,10663.7,127.5,12417.6,143.7,12172.2,190.1,9681.6,71.6,13210.2,285.9,11496.6,322.8
21,22,Monk,https://www.fflogs.com/reports/nM8bLh27k3WqztG4#fight=5&type=damage-done,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,11781.7,1132.2,11150.8,126.6,12604.2,138.5,10099.8,193.4,12671.3,71.6,13455.2,286.0,11667.8,316.2
22,23,Reaper,https://www.fflogs.com/reports/d16KL8vCzZfryPYk#fight=5&type=damage-done,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,11779.9,1145.6,10589.2,127.9,12528.3,144.6,11377.2,193.3,11507.9,71.6,12654.0,286.2,11852.4,322.0
23,24,Dragoon,https://www.fflogs.com/reports/4Z6PpH9RXYrfmhkg#fight=24&type=damage-done,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,11776.4,1140.7,9998.8,129.4,13183.4,142.3,11610.5,190.2,10767.6,71.5,12913.5,285.9,11731.7,321.4
24,25,Ninja,https://www.fflogs.com/reports/CGy1pBv7b3MAnmqj#fight=19&type=damage-done,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,11772.3,1140.2,10492.6,129.3,11839.2,143.3,11278.3,189.4,10801.3,71.6,13926.0,286.0,11693.6,320.5
25,26,Monk,https://www.fflogs.com/reports/6gwNfhdJmvLc1jBQ#fight=17&type=damage-done,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,11769.5,1141.4,10660.5,129.9,12426.3,143.8,11697.6,190.6,10817.5,71.6,12940.6,286.1,11630.4,319.4
26,27,Dragoon,https://www.fflogs.com/reports/DCwmcnFva9PRzJKf#fight=10&type=damage-done,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,0,1,11764.8,1138.6,10899.0,129.6,12145.5,144.9,11911.5,186.8,10760.6,71.6,12299.2,286.1,11854.0,319.6
27,28,Monk,https://www.fflogs.com/reports/G1ZaF3yCjDN8hLpt#fight=22&type=damage-done,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,11756.4,1137.2,10894.8,128.2,12509.4,140.6,11393.0,188.9,10821.9,71.8,13285.6,286.0,11435.5,321.6
28,29,Dragoon,https://www.fflogs.com/reports/LF7atQZz62rhgpvA#fight=16&type=damage-done,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,11755.8,1135.4,10268.4,129.5,11907.2,142.1,11061.9,188.4,13849.0,71.6,13082.1,286.0,11670.5,317.7
29,30,Ninja,https://www.fflogs.com/reports/FQ1RJHjg7qmCtMXc#fight=12&type=damage-done,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,11755.6,1142.0,10674.9,130.9,12162.4,143.1,11402.9,192.1,8800.4,71.6,14137.3,286.0,11646.2,318.4
30,31,Ninja,https://www.fflogs.com/reports/gLN6ckVHGR7Jrmhf#fight=7&type=damage-done,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,11748.3,1146.8,11602.1,130.0,12126.4,143.9,10050.1,192.1,12226.6,71.6,13229.8,286.0,11773.4,323.3
31,32,Ninja,https://www.fflogs.com/reports/tFPhYGkvLmDXWx3b#fight=6&type=damage-done,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,11746.8,1143.9,10521.5,129.5,12576.6,145.0,11140.8,191.8,10140.9,71.6,13654.6,285.9,11643.2,320.2
32,33,Ninja,https://www.fflogs.com/reports/dMHBfaw7cL3mDW2p#fight=17&type=damage-done,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,11740.3,1144.7,10705.6,131.0,11841.3,143.7,11560.1,192.7,9272.5,71.5,13963.0,285.9,11623.7,319.8
33,34,Dragoon,https://www.fflogs.com/reports/6PmdQATDnwXzRyhf#fight=5&type=damage-done,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,11737.3,1143.2,10136.4,130.1,12643.2,143.6,10684.8,193.2,12598.8,71.6,12638.4,286.1,12102.7,318.6
34,35,Dragoon,https://www.fflogs.com/reports/VWRnY482Gw61zZaL#fight=45&type=damage-done,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,11737.2,1140.8,10640.0,129.1,12021.9,142.3,11558.5,188.6,11088.0,71.4,12902.5,286.0,11756.8,323.4
35,36,Reaper,https://www.fflogs.com/reports/N4GRXZh7PgbLJtKW#fight=16&type=damage-done,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,11735.9,1143.1,11106.7,130.4,11570.4,142.2,11462.6,190.2,12384.9,71.6,12334.6,286.0,11818.2,322.7
36,37,Dragoon,https://www.fflogs.com/reports/z8nH3wJaXV9f1NTQ#fight=2&type=damage-done,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,11734.3,1141.5,10502.3,129.3,11768.0,143.1,12116.8,191.0,9590.2,71.6,12985.0,286.1,11858.4,320.5
37,38,Dragoon,https://www.fflogs.com/reports/gJ31BjK8pVRXx2hN#fight=26&type=damage-done,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,11734.2,1142.6,10469.5,129.4,13015.0,142.2,10973.2,192.4,11414.4,71.6,13289.4,286.1,11484.0,320.8
38,39,Ninja,https://www.fflogs.com/reports/2HxZqnLbmKAzF9VT#fight=47&type=damage-done,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,11731.0,1139.7,10876.6,124.9,12268.5,144.6,11205.2,193.2,10883.6,71.7,13514.8,286.0,11425.0,319.3
39,40,Reaper,https://www.fflogs.com/reports/qNrn2BVgwv9cFTDZ#fight=7&type=damage-done,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,11728.2,1147.9,10637.2,131.1,11912.5,144.0,11183.4,192.7,9781.9,71.6,12944.8,286.0,12255.1,322.6
40,41,Reaper,https://www.fflogs.com/reports/68wAPWhxr9KbG3az#fight=13&type=damage-done,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,11718.9,1141.7,10132.0,130.2,12927.8,143.3,10691.7,191.5,13897.1,71.6,11728.2,286.0,12134.7,319.1
41,42,Monk,https://www.fflogs.com/reports/F7mjY4pfVA6JQxda#fight=3&type=damage-done,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,11714.6,1139.0,10602.1,126.5,12336.9,144.6,11536.0,190.4,11101.2,71.4,13248.7,286.1,11374.0,320.0
42,43,Ninja,https://www.fflogs.com/reports/cmL8Fx3nqPzMvgt2#fight=4&type=damage-done,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,11712.6,1139.5,10659.7,129.2,12331.6,143.4,10372.5,189.8,13016.9,71.8,12752.3,286.1,11917.4,319.1
43,44,Monk,https://www.fflogs.com/reports/Q9pFwc36Jj4hxkMH#fight=15&type=damage-done,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,11712.2,1139.2,11370.4,127.3,11823.1,142.2,11298.4,192.8,10731.6,71.6,12550.3,286.0,11828.6,319.3
44,45,Dragoon,https://www.fflogs.com/reports/a:8xDtnqrh7YdLFMAN#fight=26&type=damage-done,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,11711.9,1145.3,10906.7,130.1,12399.0,144.0,10893.7,191.7,12275.8,71.6,12922.6,286.1,11525.1,321.8
45,46,Dragoon,https://www.fflogs.com/reports/DWRthTAKYvQGqmga#fight=14&type=damage-done,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,11709.9,1140.5,10127.5,129.8,12792.3,144.1,11205.1,189.3,13228.7,71.5,12162.8,286.1,11749.5,319.7
46,47,Dragoon,https://www.fflogs.com/reports/KcWYj1twMmT76C4P#fight=26&type=damage-done,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,11708.3,1138.5,10123.1,128.0,11932.6,143.7,11263.7,191.8,11867.5,71.6,13115.6,285.9,11848.9,317.5
47,48,Monk,https://www.fflogs.com/reports/9cAxTrRJdHwBbPg7#fight=10&type=damage-done,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,11708.0,1137.5,11152.7,128.1,11945.4,141.9,11636.7,190.6,9825.4,71.6,12702.7,285.9,11770.1,319.3
