,LogStartTime,LogID,PullNumber,PullDuration,BossPercentage,FightPercentage,LastPhase,LastPhaseIntermission,P2Glitch,P3Defamation
0,1674641521769,DJ4Z7LkzYdXNPfbQ,11,112667,40.15,94.01,1,0,N,N
1,1674641685116,DJ4Z7LkzYdXNPfbQ,12,64260,55.41,95.54,1,0,N,N
2,1674641794331,DJ4Z7LkzYdXNPfbQ,13,59540,58.91,95.89,1,0,N,N
3,1674641891023,DJ4Z7LkzYdXNPfbQ,14,52104,60.37,96.03,1,0,N,N
4,1674642029487,DJ4Z7LkzYdXNPfbQ,15,52253,60.09,96.0,1,0,N,N
5,1674642098204,DJ4Z7LkzYdXNPfbQ,16,112732,42.81,94.28,1,0,N,N
6,1674642332883,DJ4Z7LkzYdXNPfbQ,17,58920,56.66,95.66,1,0,N,N
7,1674642521428,DJ4Z7LkzYdXNPfbQ,18,61051,56.06,95.6,1,0,N,N
8,1674642606841,DJ4Z7LkzYdXNPfbQ,19,61152,57.27,95.72,1,0,N,N
9,1674642711297,DJ4Z7LkzYdXNPfbQ,20,58203,58.03,95.8,1,0,N,N
10,1674642799878,DJ4Z7LkzYdXNPfbQ,21,51947,60.33,96.03,1,0,N,N
11,1674642866237,DJ4Z7LkzYdXNPfbQ,22,98930,34.2,93.42,1,0,N,N
12,1674642988512,DJ4Z7LkzYdXNPfbQ,23,54416,57.45,95.74,1,0,N,N
13,1674643081497,DJ4Z7LkzYdXNPfbQ,24,101834,42.77,94.27,1,0,N,N
14,1674643212077,DJ4Z7LkzYdXNPfbQ,25,68698,53.13,95.31,1,0,N,N
15,1674643298615,DJ4Z7LkzYdXNPfbQ,26,66280,52.39,95.23,1,0,N,N
16,1674643388138,DJ4Z7LkzYdXNPfbQ,27,52279,58.3,95.83,1,0,N,N
17,1674643460621,DJ4Z7LkzYdXNPfbQ,28,97876,33.53,93.35,1,0,N,N
18,1674643760495,DJ4Z7LkzYdXNPfbQ,29,115403,27.37,92.73,1,0,N,N
19,1674644220188,DJ4Z7LkzYdXNPfbQ,30,52182,58.79,95.87,1,0,N,N
20,1674644286789,DJ4Z7LkzYdXNPfbQ,31,41677,68.67,96.86,1,0,N,N
21,1674644346937,DJ4Z7LkzYdXNPfbQ,32,112472,27.17,92.71,1,0,N,N
22,1674644684758,DJ4Z7LkzYdXNPfbQ,33,97883,33.49,93.34,1,0,N,N
23,1674644842440,DJ4Z7LkzYdXNPfbQ,34,52327,58.15,95.81,1,0,N,N
24,1674644910683,DJ4Z7LkzYdXNPfbQ,35,114487,29.15,92.91,1,0,N,N
25,1674645171239,DJ4Z7LkzYdXNPfbQ,36,112811,27.0,92.7,1,0,N,N
26,1674645406733,DJ4Z7LkzYdXNPfbQ,37,133579,28.4,92.84,1,0,N,N
27,1674645632155,DJ4Z7LkzYdXNPfbQ,38,54428,57.51,95.75,1,0,N,N
28,1674645770520,DJ4Z7LkzYdXNPfbQ,39,68345,50.36,95.03,1,0,N,N
29,1674645855273,DJ4Z7LkzYdXNPfbQ,40,57912,57.69,95.76,1,0,N,N
30,1674645937462,DJ4Z7LkzYdXNPfbQ,41,103795,30.37,93.03,1,0,N,N
31,1674646279032,DJ4Z7LkzYdXNPfbQ,42,43245,67.67,96.76,1,0,N,N
