,LogStartTime,LogID,PullNumber,PullDuration,BossPercentage,FightPercentage,LastPhase,LastPhaseIntermission,P2Glitch,P3Defamation
0,1681394796963,Vp7g2J8W9DvRntmb,13,1150461,0.3,0.07,6,0,M,B
1,1681385215446,Vp7g2J8W9DvRntmb,2,1071925,34.75,8.68,6,0,R,R
2,1681131545936,xWBtDmhJY8avjRVc,6,1052315,47.52,11.88,6,0,R,R
3,1681129083053,xWBtDmhJY8avjRVc,4,1047076,56.7,14.17,6,0,M,R
4,1680445475394,ybxvtHC4hYAdDJ6f,19,1011836,62.08,15.52,6,0,M,R
5,1680172656981,yD6tgQTNfr3Mx1Zj,3,966525,77.91,19.47,6,0,M,B
6,1679925250570,PbVRxpCD7fTtjd6A,32,925864,83.87,20.96,6,0,R,B
7,1679921513930,PbVRxpCD7fTtjd6A,24,898760,95.25,23.81,6,0,R,R
8,1679573157014,ZDNTygfjWJ4PQcmC,11,774039,35.88,33.97,5,0,R,B
9,1679567702296,ZDNTygfjWJ4PQcmC,1,774683,42.43,35.6,5,0,R,R
10,1678971595892,LmHhdynBwtD4NbPp,8,757387,43.42,35.85,5,0,M,B
11,1678711354137,M7QPpwL1RdNKfCYq,28,674729,63.23,40.8,5,0,R,B
12,1678103231177,jTM17cmLqtwpr3Gf,13,588374,84.87,46.21,5,0,M,R
13,1678098991938,jTM17cmLqtwpr3Gf,6,592209,84.92,46.23,5,0,R,R
14,1677751833066,Lbjq1KGYQptd9a64,2,524987,21.07,52.1,4,0,M,R
15,1677670941670,zg7F42DmrCkYLbnT,16,520148,23.52,52.35,4,0,R,R
16,1677665934556,zg7F42DmrCkYLbnT,3,523976,33.06,53.3,4,0,M,B
17,1677503931902,A7v9MmQCFYnbpK4N,40,510611,61.36,56.13,4,0,M,B
18,1677493926839,A7v9MmQCFYnbpK4N,9,508827,64.65,56.46,4,0,M,R
19,1677408549827,3kZPBzfm82vjwFaH,9,503268,71.69,57.16,4,0,R,R
20,1677405908688,j8YymwRCZBdkbNXH,2,503063,76.96,57.69,4,0,M,B
21,1677245623120,qC1FRQyMaJDb2vAV,41,464670,2.32,60.46,3,0,M,B
22,1677243862275,qC1FRQyMaJDb2vAV,36,459499,3.75,60.75,3,0,R,B
23,1676898908683,wcLJ7VA4Mf6dg9Cj,39,464916,8.71,61.74,3,0,M,R
24,1676632138284,PX4Gwg2DAVd7ahJK,17,461799,23.03,64.6,3,0,R,B
25,1676546817638,xGzJhgj1bV826aRr,20,400801,49.29,69.85,3,0,R,R
26,1676468063294,9W2Kmva7GXMwgPq6,38,395339,56.64,71.32,3,0,M,B
27,1676025430380,ZRgkXAqBCwF3tL8N,11,355840,77.97,75.59,3,0,R,B
28,1675859939695,kYvLA2CRwfnGTgHZ,32,347310,80.48,76.09,3,0,R,R
29,1675852260105,kYvLA2CRwfnGTgHZ,7,348141,86.17,77.23,3,0,R,B
30,1675681286014,KgDzv9j4PHQfay1V,19,342455,88.97,77.79,3,0,R,R
31,1675602548685,zRWvxfkXqprK2hNg,52,357323,90.85,78.17,3,0,R,R
32,1675421531154,qPNdxR2Gh1VmYryb,14,294705,100.0,80.0,3,0,R,N
33,1675346336027,tTfbNLpAzXhn49x7,68,278134,12.12,81.21,2,0,R,N
34,1675258361394,G7WhmzYD9RBXKdQc,68,251709,41.84,84.18,2,0,R,N
35,1675086035282,GgNaRmYM6tPwKz4T,87,279653,56.69,85.66,2,0,R,N
36,1675083362299,GgNaRmYM6tPwKz4T,68,186045,64.81,86.48,2,0,M,N
37,1675079812955,GgNaRmYM6tPwKz4T,52,176906,65.7,86.57,2,0,M,N
38,1674993525720,gBYPxnLW1w3zMahQ,55,180173,66.34,86.63,2,0,M,N
39,1674989583317,gBYPxnLW1w3zMahQ,30,182143,66.68,86.66,2,0,R,N
40,1674987786125,gBYPxnLW1w3zMahQ,19,180598,67.52,86.75,2,0,R,N
41,1674740758571,Q6ARnjw1ypMfvG3V,96,179317,69.11,86.91,2,0,M,N
42,1674733801486,Q6ARnjw1ypMfvG3V,55,191725,70.1,87.01,2,0,M,N
43,1674657119553,DJ4Z7LkzYdXNPfbQ,120,181018,74.99,87.49,2,0,M,N
44,1674656522048,DJ4Z7LkzYdXNPfbQ,115,180856,79.31,87.93,2,0,M,N
45,1674656237772,DJ4Z7LkzYdXNPfbQ,114,180512,80.79,88.07,2,0,R,N
46,1674655448514,DJ4Z7LkzYdXNPfbQ,107,133801,2.87,90.28,1,0,N,N
47,1674655266225,DJ4Z7LkzYdXNPfbQ,106,133765,7.91,90.79,1,0,N,N
48,1674653993976,DJ4Z7LkzYdXNPfbQ,96,133846,9.16,90.91,1,0,N,N
49,1674653018130,DJ4Z7LkzYdXNPfbQ,90,133044,14.63,91.46,1,0,N,N
50,1674648134653,DJ4Z7LkzYdXNPfbQ,56,121840,20.41,92.04,1,0,N,N
51,1674647050298,DJ4Z7LkzYdXNPfbQ,49,112842,22.24,92.22,1,0,N,N
52,1674645171239,DJ4Z7LkzYdXNPfbQ,36,112811,27.0,92.7,1,0,N,N
53,1674644346937,DJ4Z7LkzYdXNPfbQ,32,112472,27.17,92.71,1,0,N,N
54,1674643760495,DJ4Z7LkzYdXNPfbQ,29,115403,27.37,92.73,1,0,N,N
55,1674643460621,DJ4Z7LkzYdXNPfbQ,28,97876,33.53,93.35,1,0,N,N
56,1674642866237,DJ4Z7LkzYdXNPfbQ,22,98930,34.2,93.42,1,0,N,N
57,1674641521769,DJ4Z7LkzYdXNPfbQ,11,112667,40.15,94.01,1,0,N,N
